"households","sim","method","sensitivity","false_positives","n_significant","observed_fdr"
5,1,"Standard (total FDR<0.05)",0.8,30,34,0.882352941176471
5,1,"Adjusted (direct FDR<0.05)",0.2,17,18,0.944444444444444
5,1,"Mediation (Direct class)",0.2,14,15,0.933333333333333
5,1,"Strict mediation",0,3,3,1
5,2,"Standard (total FDR<0.05)",0.6,12,15,0.8
5,2,"Adjusted (direct FDR<0.05)",0.8,5,9,0.555555555555556
5,2,"Mediation (Direct class)",0.6,2,5,0.4
5,2,"Strict mediation",0,0,0,0
5,3,"Standard (total FDR<0.05)",0.4,16,18,0.888888888888889
5,3,"Adjusted (direct FDR<0.05)",0,1,1,1
5,3,"Mediation (Direct class)",0,1,1,1
5,3,"Strict mediation",0,0,0,0
5,4,"Standard (total FDR<0.05)",0.6,19,22,0.863636363636364
5,4,"Adjusted (direct FDR<0.05)",0.2,8,9,0.888888888888889
5,4,"Mediation (Direct class)",0.2,7,8,0.875
5,4,"Strict mediation",0,2,2,1
5,5,"Standard (total FDR<0.05)",1,23,28,0.821428571428571
5,5,"Adjusted (direct FDR<0.05)",1,17,22,0.772727272727273
5,5,"Mediation (Direct class)",0.8,15,19,0.789473684210526
5,5,"Strict mediation",0.2,2,3,0.666666666666667
5,6,"Standard (total FDR<0.05)",0.6,26,29,0.896551724137931
5,6,"Adjusted (direct FDR<0.05)",0.4,16,18,0.888888888888889
5,6,"Mediation (Direct class)",0.4,14,16,0.875
5,6,"Strict mediation",0,2,2,1
5,7,"Standard (total FDR<0.05)",0.2,15,16,0.9375
5,7,"Adjusted (direct FDR<0.05)",0,10,10,1
5,7,"Mediation (Direct class)",0,8,8,1
5,7,"Strict mediation",0,1,1,1
5,8,"Standard (total FDR<0.05)",0.4,18,20,0.9
5,8,"Adjusted (direct FDR<0.05)",0.2,6,7,0.857142857142857
5,8,"Mediation (Direct class)",0.2,4,5,0.8
5,8,"Strict mediation",0,0,0,0
5,9,"Standard (total FDR<0.05)",0.8,22,26,0.846153846153846
5,9,"Adjusted (direct FDR<0.05)",0.6,17,20,0.85
5,9,"Mediation (Direct class)",0.6,15,18,0.833333333333333
5,9,"Strict mediation",0,3,3,1
5,10,"Standard (total FDR<0.05)",0.2,18,19,0.947368421052632
5,10,"Adjusted (direct FDR<0.05)",0.2,17,18,0.944444444444444
5,10,"Mediation (Direct class)",0.2,15,16,0.9375
5,10,"Strict mediation",0,3,3,1
5,11,"Standard (total FDR<0.05)",0.6,17,20,0.85
5,11,"Adjusted (direct FDR<0.05)",0.2,7,8,0.875
5,11,"Mediation (Direct class)",0.2,7,8,0.875
5,11,"Strict mediation",0,1,1,1
5,12,"Standard (total FDR<0.05)",0.8,22,26,0.846153846153846
5,12,"Adjusted (direct FDR<0.05)",0.6,10,13,0.769230769230769
5,12,"Mediation (Direct class)",0.6,8,11,0.727272727272727
5,12,"Strict mediation",0,1,1,1
5,13,"Standard (total FDR<0.05)",1,17,22,0.772727272727273
5,13,"Adjusted (direct FDR<0.05)",0.8,10,14,0.714285714285714
5,13,"Mediation (Direct class)",0.6,8,11,0.727272727272727
5,13,"Strict mediation",0,4,4,1
5,14,"Standard (total FDR<0.05)",0.4,19,21,0.904761904761905
5,14,"Adjusted (direct FDR<0.05)",0.2,16,17,0.941176470588235
5,14,"Mediation (Direct class)",0.2,11,12,0.916666666666667
5,14,"Strict mediation",0,4,4,1
5,15,"Standard (total FDR<0.05)",0.4,23,25,0.92
5,15,"Adjusted (direct FDR<0.05)",0.2,17,18,0.944444444444444
5,15,"Mediation (Direct class)",0,13,13,1
5,15,"Strict mediation",0,3,3,1
5,16,"Standard (total FDR<0.05)",0.2,11,12,0.916666666666667
5,16,"Adjusted (direct FDR<0.05)",0,10,10,1
5,16,"Mediation (Direct class)",0,6,6,1
5,16,"Strict mediation",0,1,1,1
5,17,"Standard (total FDR<0.05)",0.4,15,17,0.882352941176471
5,17,"Adjusted (direct FDR<0.05)",0.2,13,14,0.928571428571429
5,17,"Mediation (Direct class)",0.2,8,9,0.888888888888889
5,17,"Strict mediation",0,0,0,0
5,18,"Standard (total FDR<0.05)",1,22,27,0.814814814814815
5,18,"Adjusted (direct FDR<0.05)",0,9,9,1
5,18,"Mediation (Direct class)",0,8,8,1
5,18,"Strict mediation",0,3,3,1
5,19,"Standard (total FDR<0.05)",1,26,31,0.838709677419355
5,19,"Adjusted (direct FDR<0.05)",0.4,8,10,0.8
5,19,"Mediation (Direct class)",0.4,8,10,0.8
5,19,"Strict mediation",0,2,2,1
5,20,"Standard (total FDR<0.05)",0,8,8,1
5,20,"Adjusted (direct FDR<0.05)",0,11,11,1
5,20,"Mediation (Direct class)",0,7,7,1
5,20,"Strict mediation",0,3,3,1
5,21,"Standard (total FDR<0.05)",0.6,8,11,0.727272727272727
5,21,"Adjusted (direct FDR<0.05)",0.6,5,8,0.625
5,21,"Mediation (Direct class)",0.6,4,7,0.571428571428571
5,21,"Strict mediation",0,0,0,0
5,22,"Standard (total FDR<0.05)",0.4,21,23,0.91304347826087
5,22,"Adjusted (direct FDR<0.05)",0.4,10,12,0.833333333333333
5,22,"Mediation (Direct class)",0,9,9,1
5,22,"Strict mediation",0,1,1,1
5,23,"Standard (total FDR<0.05)",0.4,17,19,0.894736842105263
5,23,"Adjusted (direct FDR<0.05)",0.6,19,22,0.863636363636364
5,23,"Mediation (Direct class)",0.4,17,19,0.894736842105263
5,23,"Strict mediation",0,3,3,1
5,24,"Standard (total FDR<0.05)",0.4,15,17,0.882352941176471
5,24,"Adjusted (direct FDR<0.05)",0.4,5,7,0.714285714285714
5,24,"Mediation (Direct class)",0.4,4,6,0.666666666666667
5,24,"Strict mediation",0,1,1,1
5,25,"Standard (total FDR<0.05)",0.6,11,14,0.785714285714286
5,25,"Adjusted (direct FDR<0.05)",0.4,7,9,0.777777777777778
5,25,"Mediation (Direct class)",0.4,4,6,0.666666666666667
5,25,"Strict mediation",0.2,1,2,0.5
5,26,"Standard (total FDR<0.05)",0.8,16,20,0.8
5,26,"Adjusted (direct FDR<0.05)",0.2,5,6,0.833333333333333
5,26,"Mediation (Direct class)",0.2,5,6,0.833333333333333
5,26,"Strict mediation",0,1,1,1
5,27,"Standard (total FDR<0.05)",0.4,21,23,0.91304347826087
5,27,"Adjusted (direct FDR<0.05)",0.2,8,9,0.888888888888889
5,27,"Mediation (Direct class)",0.2,8,9,0.888888888888889
5,27,"Strict mediation",0,3,3,1
5,28,"Standard (total FDR<0.05)",0.2,15,16,0.9375
5,28,"Adjusted (direct FDR<0.05)",0,10,10,1
5,28,"Mediation (Direct class)",0,7,7,1
5,28,"Strict mediation",0,2,2,1
5,29,"Standard (total FDR<0.05)",0.4,17,19,0.894736842105263
5,29,"Adjusted (direct FDR<0.05)",0.4,11,13,0.846153846153846
5,29,"Mediation (Direct class)",0.2,7,8,0.875
5,29,"Strict mediation",0,2,2,1
5,30,"Standard (total FDR<0.05)",0.4,10,12,0.833333333333333
5,30,"Adjusted (direct FDR<0.05)",0.2,3,4,0.75
5,30,"Mediation (Direct class)",0.2,2,3,0.666666666666667
5,30,"Strict mediation",0,1,1,1
5,31,"Standard (total FDR<0.05)",0.8,15,19,0.789473684210526
5,31,"Adjusted (direct FDR<0.05)",0.2,1,2,0.5
5,31,"Mediation (Direct class)",0.2,1,2,0.5
5,31,"Strict mediation",0.2,0,1,0
5,32,"Standard (total FDR<0.05)",0.8,18,22,0.818181818181818
