"vary","value","sim","sensitivity","specificity","fdr","n_selected"
"households",5,1,0.8,0.210526315789474,0.949367088607595,79
"households",5,2,1,0.410526315789474,0.918032786885246,61
"households",5,3,1,0.189473684210526,0.939024390243902,82
"households",5,4,0.8,0.284210526315789,0.944444444444444,72
"households",5,5,0.8,0.347368421052632,0.939393939393939,66
"households",5,6,0.8,0.221052631578947,0.948717948717949,78
"households",5,7,0.8,0.294736842105263,0.943661971830986,71
"households",5,8,0.8,0.115789473684211,0.954545454545455,88
"households",5,9,0.6,0.4,0.95,60
"households",5,10,1,0.315789473684211,0.928571428571429,70
"households",5,11,0.6,0.347368421052632,0.953846153846154,65
"households",5,12,1,0.294736842105263,0.930555555555556,72
"households",5,13,0.8,0.357894736842105,0.938461538461538,65
"households",5,14,1,0.178947368421053,0.939759036144578,83
"households",5,15,0.8,0.221052631578947,0.948717948717949,78
"households",5,16,0.8,0.463157894736842,0.927272727272727,55
"households",5,17,0.8,0.136842105263158,0.953488372093023,86
"households",5,18,1,0.305263157894737,0.929577464788732,71
"households",5,19,0.8,0.178947368421053,0.951219512195122,82
"households",5,20,1,0.157894736842105,0.941176470588235,85
"households",5,21,1,0.2,0.938271604938272,81
"households",5,22,0.8,0.410526315789474,0.933333333333333,60
"households",5,23,0.2,0.252631578947368,0.986111111111111,72
"households",5,24,0.6,0.178947368421053,0.962962962962963,81
"households",5,25,1,0.157894736842105,0.941176470588235,85
"households",5,26,1,0.326315789473684,0.927536231884058,69
"households",5,27,1,0.0842105263157895,0.945652173913043,92
"households",5,28,0.8,0.357894736842105,0.938461538461538,65
"households",5,29,0.8,0.126315789473684,0.954022988505747,87
"households",5,30,0,0.621052631578947,1,36
"households",5,31,0.4,0.157894736842105,0.975609756097561,82
"households",5,32,0.8,0.210526315789474,0.949367088607595,79
"households",5,33,0.4,0.178947368421053,0.975,80
"households",5,34,0.8,0.284210526315789,0.944444444444444,72
"households",5,35,1,0.157894736842105,0.941176470588235,85
"households",5,36,0.8,0.463157894736842,0.927272727272727,55
"households",5,37,0.8,0.147368421052632,0.952941176470588,85
"households",5,38,1,0.368421052631579,0.923076923076923,65
"households",5,39,0.8,0.0947368421052632,0.955555555555556,90
"households",5,40,0.6,0.610526315789474,0.925,40
"households",5,41,1,0.326315789473684,0.927536231884058,69
"households",5,42,0.8,0.136842105263158,0.953488372093023,86
"households",5,43,1,0.368421052631579,0.923076923076923,65
"households",5,44,0.6,0.389473684210526,0.950819672131147,61
"households",5,45,1,0.484210526315789,0.907407407407407,54
"households",5,46,0.6,0.715789473684211,0.9,30
"households",5,47,0.8,0.147368421052632,0.952941176470588,85
"households",5,48,1,0.231578947368421,0.935897435897436,78
"households",5,49,1,0.252631578947368,0.934210526315789,76
"households",5,50,0.8,0.0736842105263158,0.956521739130435,92
"households",10,1,0.8,0.484210526315789,0.924528301886792,53
"households",10,2,1,0.0842105263157895,0.945652173913043,92
"households",10,3,0.8,0.189473684210526,0.950617283950617,81
"households",10,4,1,0.221052631578947,0.936708860759494,79
"households",10,5,1,0.347368421052632,0.925373134328358,67
"households",10,6,1,0.4,0.919354838709677,62
"households",10,7,0.8,0.157894736842105,0.952380952380952,84
"households",10,8,1,0.178947368421053,0.939759036144578,83
"households",10,9,0.8,0.157894736842105,0.952380952380952,84
"households",10,10,1,0.157894736842105,0.941176470588235,85
"households",10,11,0.6,0.189473684210526,0.9625,80
"households",10,12,1,0.378947368421053,0.921875,64
"households",10,13,0.8,0.326315789473684,0.941176470588235,68
