"vary","value","sim","model","fdr_threshold","sensitivity","false_positives","n_significant","observed_fdr"
"households",5,1,"Simple univariate",0.05,0.8,30,34,0.882352941176471
"households",5,1,"Simple univariate",0.1,0.8,34,38,0.894736842105263
"households",5,1,"Simple univariate",0.2,0.8,40,44,0.909090909090909
"households",5,1,"Covariate-adjusted",0.05,0.2,17,18,0.944444444444444
"households",5,1,"Covariate-adjusted",0.1,0.2,23,24,0.958333333333333
"households",5,1,"Covariate-adjusted",0.2,0.4,34,36,0.944444444444444
"households",5,2,"Simple univariate",0.05,0.6,12,15,0.8
"households",5,2,"Simple univariate",0.1,0.6,18,21,0.857142857142857
"households",5,2,"Simple univariate",0.2,0.6,21,24,0.875
"households",5,2,"Covariate-adjusted",0.05,0.8,5,9,0.555555555555556
"households",5,2,"Covariate-adjusted",0.1,0.8,10,14,0.714285714285714
"households",5,2,"Covariate-adjusted",0.2,0.8,12,16,0.75
"households",5,3,"Simple univariate",0.05,0.4,16,18,0.888888888888889
"households",5,3,"Simple univariate",0.1,0.4,23,25,0.92
"households",5,3,"Simple univariate",0.2,1,30,35,0.857142857142857
"households",5,3,"Covariate-adjusted",0.05,0,1,1,1
"households",5,3,"Covariate-adjusted",0.1,0,5,5,1
"households",5,3,"Covariate-adjusted",0.2,0.4,12,14,0.857142857142857
"households",5,4,"Simple univariate",0.05,0.6,19,22,0.863636363636364
"households",5,4,"Simple univariate",0.1,0.8,26,30,0.866666666666667
"households",5,4,"Simple univariate",0.2,0.8,35,39,0.897435897435897
"households",5,4,"Covariate-adjusted",0.05,0.2,8,9,0.888888888888889
"households",5,4,"Covariate-adjusted",0.1,0.4,10,12,0.833333333333333
"households",5,4,"Covariate-adjusted",0.2,0.4,15,17,0.882352941176471
"households",5,5,"Simple univariate",0.05,1,23,28,0.821428571428571
"households",5,5,"Simple univariate",0.1,1,33,38,0.868421052631579
"households",5,5,"Simple univariate",0.2,1,42,47,0.893617021276596
"households",5,5,"Covariate-adjusted",0.05,1,17,22,0.772727272727273
"households",5,5,"Covariate-adjusted",0.1,1,21,26,0.807692307692308
"households",5,5,"Covariate-adjusted",0.2,1,33,38,0.868421052631579
"households",5,6,"Simple univariate",0.05,0.6,26,29,0.896551724137931
"households",5,6,"Simple univariate",0.1,0.6,32,35,0.914285714285714
"households",5,6,"Simple univariate",0.2,0.6,43,46,0.934782608695652
"households",5,6,"Covariate-adjusted",0.05,0.4,16,18,0.888888888888889
"households",5,6,"Covariate-adjusted",0.1,0.6,21,24,0.875
"households",5,6,"Covariate-adjusted",0.2,0.6,30,33,0.909090909090909
"households",5,7,"Simple univariate",0.05,0.2,15,16,0.9375
"households",5,7,"Simple univariate",0.1,0.2,18,19,0.947368421052632
"households",5,7,"Simple univariate",0.2,0.4,28,30,0.933333333333333
"households",5,7,"Covariate-adjusted",0.05,0,10,10,1
"households",5,7,"Covariate-adjusted",0.1,0.2,12,13,0.923076923076923
"households",5,7,"Covariate-adjusted",0.2,0.2,16,17,0.941176470588235
"households",5,8,"Simple univariate",0.05,0.4,18,20,0.9
"households",5,8,"Simple univariate",0.1,0.8,19,23,0.826086956521739
"households",5,8,"Simple univariate",0.2,0.8,33,37,0.891891891891892
"households",5,8,"Covariate-adjusted",0.05,0.2,6,7,0.857142857142857
"households",5,8,"Covariate-adjusted",0.1,0.2,7,8,0.875
"households",5,8,"Covariate-adjusted",0.2,0.2,8,9,0.888888888888889
"households",5,9,"Simple univariate",0.05,0.8,22,26,0.846153846153846
"households",5,9,"Simple univariate",0.1,0.8,27,31,0.870967741935484
"households",5,9,"Simple univariate",0.2,0.8,42,46,0.91304347826087
"households",5,9,"Covariate-adjusted",0.05,0.6,17,20,0.85
"households",5,9,"Covariate-adjusted",0.1,0.6,30,33,0.909090909090909
"households",5,9,"Covariate-adjusted",0.2,0.6,38,41,0.926829268292683
"households",5,10,"Simple univariate",0.05,0.2,18,19,0.947368421052632
"households",5,10,"Simple univariate",0.1,0.2,26,27,0.962962962962963
"households",5,10,"Simple univariate",0.2,0.2,30,31,0.967741935483871
"households",5,10,"Covariate-adjusted",0.05,0.2,17,18,0.944444444444444
"households",5,10,"Covariate-adjusted",0.1,0.2,23,24,0.958333333333333
"households",5,10,"Covariate-adjusted",0.2,0.2,35,36,0.972222222222222
"households",5,11,"Simple univariate",0.05,0.6,17,20,0.85
"households",5,11,"Simple univariate",0.1,0.6,22,25,0.88
"households",5,11,"Simple univariate",0.2,0.6,30,33,0.909090909090909
"households",5,11,"Covariate-adjusted",0.05,0.2,7,8,0.875
"households",5,11,"Covariate-adjusted",0.1,0.2,14,15,0.933333333333333
"households",5,11,"Covariate-adjusted",0.2,0.2,23,24,0.958333333333333
"households",5,12,"Simple univariate",0.05,0.8,22,26,0.846153846153846
"households",5,12,"Simple univariate",0.1,0.8,26,30,0.866666666666667
"households",5,12,"Simple univariate",0.2,0.8,33,37,0.891891891891892
"households",5,12,"Covariate-adjusted",0.05,0.6,10,13,0.769230769230769
"households",5,12,"Covariate-adjusted",0.1,0.6,16,19,0.842105263157895
"households",5,12,"Covariate-adjusted",0.2,0.6,19,22,0.863636363636364
"households",5,13,"Simple univariate",0.05,1,17,22,0.772727272727273
"households",5,13,"Simple univariate",0.1,1,26,31,0.838709677419355
"households",5,13,"Simple univariate",0.2,1,35,40,0.875
"households",5,13,"Covariate-adjusted",0.05,0.8,10,14,0.714285714285714
"households",5,13,"Covariate-adjusted",0.1,0.8,12,16,0.75
"households",5,13,"Covariate-adjusted",0.2,0.8,19,23,0.826086956521739
"households",5,14,"Simple univariate",0.05,0.4,19,21,0.904761904761905
"households",5,14,"Simple univariate",0.1,0.4,28,30,0.933333333333333
"households",5,14,"Simple univariate",0.2,0.4,41,43,0.953488372093023
"households",5,14,"Covariate-adjusted",0.05,0.2,16,17,0.941176470588235
"households",5,14,"Covariate-adjusted",0.1,0.2,23,24,0.958333333333333
"households",5,14,"Covariate-adjusted",0.2,0.2,25,26,0.961538461538462
"households",5,15,"Simple univariate",0.05,0.4,23,25,0.92
"households",5,15,"Simple univariate",0.1,0.4,28,30,0.933333333333333
"households",5,15,"Simple univariate",0.2,0.4,38,40,0.95
"households",5,15,"Covariate-adjusted",0.05,0.2,17,18,0.944444444444444
"households",5,15,"Covariate-adjusted",0.1,0.2,18,19,0.947368421052632
"households",5,15,"Covariate-adjusted",0.2,0.2,28,29,0.96551724137931
"households",5,16,"Simple univariate",0.05,0.2,11,12,0.916666666666667
"households",5,16,"Simple univariate",0.1,0.2,21,22,0.954545454545455
"households",5,16,"Simple univariate",0.2,0.2,34,35,0.971428571428571
"households",5,16,"Covariate-adjusted",0.05,0,10,10,1
"households",5,16,"Covariate-adjusted",0.1,0,19,19,1
"households",5,16,"Covariate-adjusted",0.2,0.2,34,35,0.971428571428571
"households",5,17,"Simple univariate",0.05,0.4,15,17,0.882352941176471
"households",5,17,"Simple univariate",0.1,0.4,16,18,0.888888888888889
"households",5,17,"Simple univariate",0.2,0.6,23,26,0.884615384615385
"households",5,17,"Covariate-adjusted",0.05,0.2,13,14,0.928571428571429
"households",5,17,"Covariate-adjusted",0.1,0.2,21,22,0.954545454545455
"households",5,17,"Covariate-adjusted",0.2,0.2,25,26,0.961538461538462
"households",5,18,"Simple univariate",0.05,1,22,27,0.814814814814815
"households",5,18,"Simple univariate",0.1,1,22,27,0.814814814814815
"households",5,18,"Simple univariate",0.2,1,37,42,0.880952380952381
"households",5,18,"Covariate-adjusted",0.05,0,9,9,1
"households",5,18,"Covariate-adjusted",0.1,0.6,13,16,0.8125
"households",5,18,"Covariate-adjusted",0.2,0.6,21,24,0.875
"households",5,19,"Simple univariate",0.05,1,26,31,0.838709677419355
"households",5,19,"Simple univariate",0.1,1,27,32,0.84375
"households",5,19,"Simple univariate",0.2,1,30,35,0.857142857142857
"households",5,19,"Covariate-adjusted",0.05,0.4,8,10,0.8
"households",5,19,"Covariate-adjusted",0.1,0.4,17,19,0.894736842105263
"households",5,19,"Covariate-adjusted",0.2,0.4,28,30,0.933333333333333
"households",5,20,"Simple univariate",0.05,0,8,8,1
"households",5,20,"Simple univariate",0.1,0.2,15,16,0.9375
"households",5,20,"Simple univariate",0.2,0.2,24,25,0.96
"households",5,20,"Covariate-adjusted",0.05,0,11,11,1
"households",5,20,"Covariate-adjusted",0.1,0,18,18,1
"households",5,20,"Covariate-adjusted",0.2,0.2,24,25,0.96
"households",5,21,"Simple univariate",0.05,0.6,8,11,0.727272727272727
"households",5,21,"Simple univariate",0.1,0.8,12,16,0.75
"households",5,21,"Simple univariate",0.2,1,29,34,0.852941176470588
"households",5,21,"Covariate-adjusted",0.05,0.6,5,8,0.625
"households",5,21,"Covariate-adjusted",0.1,0.8,16,20,0.8
"households",5,21,"Covariate-adjusted",0.2,0.8,30,34,0.882352941176471
"households",5,22,"Simple univariate",0.05,0.4,21,23,0.91304347826087
"households",5,22,"Simple univariate",0.1,0.4,23,25,0.92
"households",5,22,"Simple univariate",0.2,0.8,36,40,0.9
"households",5,22,"Covariate-adjusted",0.05,0.4,10,12,0.833333333333333
"households",5,22,"Covariate-adjusted",0.1,0.4,14,16,0.875
"households",5,22,"Covariate-adjusted",0.2,0.4,16,18,0.888888888888889
"households",5,23,"Simple univariate",0.05,0.4,17,19,0.894736842105263
"households",5,23,"Simple univariate",0.1,0.4,20,22,0.909090909090909
"households",5,23,"Simple univariate",0.2,0.6,28,31,0.903225806451613
"households",5,23,"Covariate-adjusted",0.05,0.6,19,22,0.863636363636364
"households",5,23,"Covariate-adjusted",0.1,0.6,20,23,0.869565217391304
"households",5,23,"Covariate-adjusted",0.2,0.6,29,32,0.90625
"households",5,24,"Simple univariate",0.05,0.4,15,17,0.882352941176471
"households",5,24,"Simple univariate",0.1,0.4,18,20,0.9
"households",5,24,"Simple univariate",0.2,0.8,30,34,0.882352941176471
"households",5,24,"Covariate-adjusted",0.05,0.4,5,7,0.714285714285714
"households",5,24,"Covariate-adjusted",0.1,0.4,5,7,0.714285714285714
"households",5,24,"Covariate-adjusted",0.2,0.4,15,17,0.882352941176471
"households",5,25,"Simple univariate",0.05,0.6,11,14,0.785714285714286
"households",5,25,"Simple univariate",0.1,0.6,13,16,0.8125
"households",5,25,"Simple univariate",0.2,0.8,29,33,0.878787878787879
"households",5,25,"Covariate-adjusted",0.05,0.4,7,9,0.777777777777778
"households",5,25,"Covariate-adjusted",0.1,0.4,11,13,0.846153846153846
"households",5,25,"Covariate-adjusted",0.2,0.4,24,26,0.923076923076923
"households",5,26,"Simple univariate",0.05,0.8,16,20,0.8
"households",5,26,"Simple univariate",0.1,0.8,21,25,0.84
"households",5,26,"Simple univariate",0.2,0.8,28,32,0.875
"households",5,26,"Covariate-adjusted",0.05,0.2,5,6,0.833333333333333
"households",5,26,"Covariate-adjusted",0.1,0.6,9,12,0.75
"households",5,26,"Covariate-adjusted",0.2,0.8,13,17,0.764705882352941
"households",5,27,"Simple univariate",0.05,0.4,21,23,0.91304347826087
"households",5,27,"Simple univariate",0.1,0.8,26,30,0.866666666666667
"households",5,27,"Simple univariate",0.2,0.8,32,36,0.888888888888889
"households",5,27,"Covariate-adjusted",0.05,0.2,8,9,0.888888888888889
"households",5,27,"Covariate-adjusted",0.1,0.6,11,14,0.785714285714286
"households",5,27,"Covariate-adjusted",0.2,0.6,24,27,0.888888888888889
"households",5,28,"Simple univariate",0.05,0.2,15,16,0.9375
"households",5,28,"Simple univariate",0.1,0.4,19,21,0.904761904761905
